filename,av_cov,stdev,Group,Collection
23442Pal_S15_S134_cov.txt,6.89564,11.9046,Santa Barbara (AQ),Aquarium
23442Pal_S1_S120_cov.txt,3.03829,6.55527,Santa Barbara (AQ),Aquarium
23442Pal_S2_S121_cov.txt,6.69312,10.8162,Santa Barbara (AQ),Aquarium
23442Pal_S3_S122_cov.txt,3.2413,6.05026,Santa Barbara (AQ),Aquarium
23442Pal_S4_S123_cov.txt,2.55738,4.31001,Santa Barbara (AQ),Aquarium
23442Pal_S5_S124_cov.txt,3.7113,8.12485,Santa Barbara (AQ),Aquarium
23442Pal_S6_S125_cov.txt,4.50102,7.35145,Santa Barbara (AQ),Aquarium
23442Pal_S7_S126_cov.txt,4.47651,7.04131,Santa Barbara (AQ),Aquarium
23442Pal_S8_S127_cov.txt,4.02441,6.67508,Santa Barbara (AQ),Aquarium
23442Pal_S9_S128_cov.txt,3.93926,6.3232,Santa Barbara (AQ),Aquarium
23442Pal_SB-10_S19_cov.txt,4.44969,7.66022,Santa Barbara,New
23442Pal_SB-11_S20_cov.txt,5.83593,10.4704,Santa Barbara,New
23442Pal_SB-12_S21_cov.txt,4.77629,8.73883,Santa Barbara,New
23442Pal_SB-1_S11_cov.txt,2.78024,6.4515,Santa Barbara,New
23442Pal_SB-2_S12_cov.txt,5.93878,9.52525,Santa Barbara,New
23442Pal_SB-3_S13_cov.txt,1.92462,11.432,Santa Barbara,New
23442Pal_SB-5_S14_cov.txt,6.35811,11.3953,Santa Barbara,New
23442Pal_SB-6_S15_cov.txt,7.55134,13.6426,Santa Barbara,New
23442Pal_SB-7_S16_cov.txt,4.75221,7.83843,Santa Barbara,New
23442Pal_SB-8_S17_cov.txt,4.85856,7.6525,Santa Barbara,New
23442Pal_SB-9_S18_cov.txt,5.32302,10.499,Santa Barbara,New
23442Pal_T1_S182_cov.txt,4.10234,9.8278,Fort Bragg (Hi),Historic
23442Pal_T2_S184_cov.txt,5.09028,19.1794,Fort Bragg (Hi),Historic
23442Pal_T3_S185_cov.txt,5.34463,13.5056,Fort Bragg (Hi),Historic
23442Pal_U10_S106_cov.txt,7.39637,13.7652,Ucluelet,New
23442Pal_U11_S107_cov.txt,5.3757,12.8293,Ucluelet,New
23442Pal_U1_S97_cov.txt,2.88713,7.76862,Ucluelet,New
23442Pal_U2_S98_cov.txt,5.21154,11.7522,Ucluelet,New
23442Pal_U3_S99_cov.txt,4.86352,9.91272,Ucluelet,New
23442Pal_U4_S100_cov.txt,3.04233,7.07015,Ucluelet,New
23442Pal_U5_S101_cov.txt,5.24485,11.7965,Ucluelet,New
23442Pal_U6_S102_cov.txt,5.72286,10.0062,Ucluelet,New
23442Pal_U7_S103_cov.txt,4.61261,8.03072,Ucluelet,New
23442Pal_U8_S104_cov.txt,4.92028,9.36403,Ucluelet,New
23442Pal_U9_S105_cov.txt,5.8141,11.9123,Ucluelet,New
23442Pal_W10_S179_cov.txt,5.01398,7.86961,Winter Harbor (Hi),Historic
23442Pal_W11_S180_cov.txt,5.73831,16.3441,Winter Harbor (Hi),Historic
23442Pal_W12_S181_cov.txt,6.69347,16.5272,Winter Harbor (Hi),Historic
23442Pal_W1_S170_cov.txt,7.23208,11.7182,Winter Harbor (Hi),Historic
23442Pal_W2_S171_cov.txt,7.31663,9.83764,Winter Harbor (Hi),Historic
23442Pal_W3_S172_cov.txt,4.74397,5.42166,Winter Harbor (Hi),Historic
23442Pal_W4_S173_cov.txt,4.63168,6.16069,Winter Harbor (Hi),Historic
23442Pal_W5_S174_cov.txt,4.46376,6.65414,Winter Harbor (Hi),Historic
23442Pal_W6_S175_cov.txt,6.24347,8.6372,Winter Harbor (Hi),Historic
23442Pal_W7_S176_cov.txt,4.80822,6.59761,Winter Harbor (Hi),Historic
23442Pal_W8_S177_cov.txt,6.40229,7.74755,Winter Harbor (Hi),Historic
23442Pal_W9_S178_cov.txt,8.07752,12.3448,Winter Harbor (Hi),Historic
24145Pal_AP13_S19_lc_shortcov.txt,2.72961,5.52104,Bamfield (Hi),Historic
24145Pal_AP15_S20_lc_shortcov.txt,4.53684,8.53349,Bamfield (Hi),Historic
24145Pal_AP19_S21_lc_shortcov.txt,3.80347,5.41829,Bamfield (Hi),Historic
24145Pal_AP2_S14_lc_shortcov.txt,5.53963,13.9751,Bamfield (Hi),Historic
24145Pal_AP23_S22_lc_shortcov.txt,4.53742,7.07689,Bamfield (Hi),Historic
24145Pal_AP24_S23_lc_shortcov.txt,3.92062,5.86245,Bamfield (Hi),Historic
24145Pal_AP3_S15_lc_shortcov.txt,4.50279,6.95351,Bamfield (Hi),Historic
24145Pal_AP4_S16_lc_shortcov.txt,4.2275,5.70677,Bamfield (Hi),Historic
24145Pal_AP5_S17_lc_shortcov.txt,4.25569,6.18763,Bamfield (Hi),Historic
24145Pal_AP9_S18_lc_shortcov.txt,6.00827,8.2178,Bamfield (Hi),Historic
24145Pal_B12_S7_lc_shortcov.txt,3.19589,4.34535,Bamfield,New
24145Pal_B19_S8_lc_shortcov.txt,3.60479,3.92038,Bamfield,New
24145Pal_B2_S6_lc_shortcov.txt,3.36892,4.59947,Bamfield,New
24145Pal_Ba10_S56_lc_shortcov.txt,4.32591,4.80937,Ensenada,New
24145Pal_Ba11_S57_lc_shortcov.txt,4.08045,5.09342,Ensenada,New
24145Pal_Ba13_S58_lc_shortcov.txt,4.46912,5.77069,Ensenada,New
24145Pal_Ba14_S59_lc_shortcov.txt,5.05405,8.94607,Ensenada,New
24145Pal_Ba15_S60_lc_shortcov.txt,4.74317,8.15032,Ensenada,New
24145Pal_Ba16_S61_lc_shortcov.txt,4.59421,10.5663,Ensenada,New
24145Pal_Ba17_S62_lc_shortcov.txt,4.81844,7.58799,Ensenada,New
24145Pal_Ba18_S63_lc_shortcov.txt,5.14973,7.97147,Ensenada,New
24145Pal_Ba19_S64_lc_shortcov.txt,4.40878,6.43871,Ensenada,New
24145Pal_Ba21_S65_lc_shortcov.txt,3.81463,5.24045,Ensenada,New
24145Pal_Ba23_S66_lc_shortcov.txt,5.07537,7.54951,Ensenada,New
24145Pal_Ba3_S52_lc_shortcov.txt,3.65664,8.13283,Ensenada,New
24145Pal_Ba7_S53_lc_shortcov.txt,3.72558,7.70182,Ensenada,New
24145Pal_Ba8_S54_lc_shortcov.txt,3.00216,3.78752,Ensenada,New
24145Pal_Ba9_S55_lc_shortcov.txt,5.8417,7.71725,Ensenada,New
24145Pal_D2_S10_lc_shortcov.txt,4.15314,7.63837,San Diego (Hi),Historic
24145Pal_D3_S11_lc_shortcov.txt,3.6652,5.73019,San Diego (Hi),Historic
24145Pal_D4_S12_lc_shortcov.txt,5.62266,11.3803,San Diego (Hi),Historic
24145Pal_D5_S13_lc_shortcov.txt,4.36691,7.6043,San Diego (Hi),Historic
24145Pal_Female1_S47_lc_shortcov.txt,4.33109,8.35025,Monterey Female,New
24145Pal_Female2_S48_lc_shortcov.txt,4.9605,7.74297,Monterey Female,New
24145Pal_Female4_S49_lc_shortcov.txt,3.70673,6.11703,Monterey Female,New
24145Pal_Female5_S50_lc_shortcov.txt,4.67934,10.2975,Monterey Female,New
24145Pal_Female8_S51_lc_shortcov.txt,4.4674,10.7288,Monterey Female,New
24145Pal_Male1_S42_lc_shortcov.txt,5.0548,12.862,Monterey Male,New
24145Pal_Male2_S43_lc_shortcov.txt,6.71013,14.7866,Monterey Male,New
24145Pal_Male3_S44_lc_shortcov.txt,4.58829,7.50675,Monterey Male,New
24145Pal_Male4_S45_lc_shortcov.txt,5.89565,14.0247,Monterey Male,New
24145Pal_Male7_S46_lc_shortcov.txt,4.87156,10.0636,Monterey Male,New
24145Pal_S10_S25_lc_shortcov.txt,4.41192,8.4599,Bamfield (Hi),Historic
24145Pal_S11_S26_lc_shortcov.txt,4.52989,5.341,Bamfield (Hi),Historic
24145Pal_S12_S27_lc_shortcov.txt,3.98549,7.43751,Bamfield (Hi),Historic
24145Pal_S13_S28_lc_shortcov.txt,3.69029,5.13487,Bamfield (Hi),Historic
24145Pal_S14_S29_lc_shortcov.txt,3.64192,6.09729,Bamfield (Hi),Historic
24145Pal_S15_S30_lc_shortcov.txt,4.03905,5.84379,Bamfield (Hi),Historic
24145Pal_S16_S31_lc_shortcov.txt,4.72354,7.28968,Bamfield (Hi),Historic
24145Pal_S17_S32_lc_shortcov.txt,3.92399,5.80927,Bamfield (Hi),Historic
24145Pal_S34_S33_lc_shortcov.txt,4.24885,9.48999,Bamfield (Hi),Historic
24145Pal_S7_S24_lc_shortcov.txt,4.26365,5.43376,Bamfield (Hi),Historic
24145Pal_SB-10_S5_lc_shortcov.txt,3.72252,5.67323,Santa Barbara,New
24145Pal_SB-2_S1_lc_shortcov.txt,3.48865,4.6057,Santa Barbara,New
24145Pal_SB-5_S2_lc_shortcov.txt,3.83214,5.40408,Santa Barbara,New
24145Pal_SB-6_S3_lc_shortcov.txt,3.54735,5.44472,Santa Barbara,New
24145Pal_SB-8_S4_lc_shortcov.txt,3.28975,4.56161,Santa Barbara,New
24145Pal_SD1_S34_lc_shortcov.txt,7.03397,7.25944,San Diego (AQ),Aquarium
24145Pal_SD10_S41_lc_shortcov.txt,3.55192,3.83443,San Diego (AQ),Aquarium
24145Pal_SD2_S35_lc_shortcov.txt,3.99461,4.67124,San Diego (AQ),Aquarium
24145Pal_SD3_S36_lc_shortcov.txt,4.326,7.46791,San Diego (AQ),Aquarium
24145Pal_SD5_S37_lc_shortcov.txt,3.95456,8.92271,San Diego (AQ),Aquarium
24145Pal_SD7_S38_lc_shortcov.txt,5.2293,7.73857,San Diego (AQ),Aquarium
24145Pal_SD8_S39_lc_shortcov.txt,3.92222,4.37117,San Diego (AQ),Aquarium
24145Pal_SD9_S40_lc_shortcov.txt,4.35825,7.467,San Diego (AQ),Aquarium
24145Pal_T15_S9_lc_shortcov.txt,5.60947,9.74163,Fort Bragg (Hi),Historic
