filename,mean_fst,weighted_fst,pop1,pop2
fst.59061246.log,-0.0063233,0.00512421,Ucluelet,Santa Barbara
FbraggA_Monterey_R2_mindpop0.5_fst.log,0.00579077,0.0147119,Fort Bragg (AQ),Monterey
SB_BamfieldH_R2_mindpop0.5_fst.log,-0.00641776,0.00156096,Santa Barbara,Bamfield (Hi)
SBA_Baja_R2_mindpop0.5_fst.log,-0.000454248,0.00326601,Santa Barbara (AQ),Ensenada
LA_SBA_R2_mindpop0.5_fst.log,0.00230283,0.00592481,LA (AQ),Santa Barbara (AQ)
LA_Hazard_R2_mindpop0.5_fst.log,-0.00181913,0.00211178,LA (AQ),Hazard Canyon
fst.59061380.log,0.00230283,0.00592481,Santa Barbara (AQ),LA (AQ)
fst.59061308.log,0.00299051,0.00492688,Fort Bragg,Santa Barbara (AQ)
Ucluelet_SBA_R2_mindpop0.5_fst.log,0.00170102,0.00694485,Ucluelet,Santa Barbara (AQ)
fst.59061250.log,-0.000924029,0.00434639,Ucluelet,Ensenada
Ucluelet_Fbragg_R2_mindpop0.5_fst.log,0.000143262,0.00453399,Ucluelet,Fort Bragg
fst.59061333.log,0.000957664,0.00310222,Monterey,Bamfield (Hi)
fst.59061211.log,0.00843649,0.0189737,Winter Harbor (Hi),Fort Bragg (AQ)
SBA_BamfieldH_R2_mindpop0.5_fst.log,0.000342041,0.00393569,Santa Barbara (AQ),Bamfield (Hi)
SBA_WH_R2_mindpop0.5_fst.log,0.00249395,0.00703045,Santa Barbara (AQ),Winter Harbor (Hi)
LA_FbraggA_R2_mindpop0.5_fst.log,0.00441715,0.013242,LA (AQ),Fort Bragg (AQ)
Bamfield_SB_R2_mindpop0.5_fst.log,-0.00626248,0.00670472,Bamfield,Santa Barbara
fst.59061326.log,0.00698499,0.0168398,Fort Bragg (AQ),San Diego (AQ)
Monterey_BamfieldH_R2_mindpop0.5_fst.log,0.000957664,0.00310222,Monterey,Bamfield (Hi)
SB_SBA_R2_mindpop0.65_fst.log,-0.00519368,0.00189293,Santa Barbara,Santa Barbara (AQ)
fst.59061138.log,0.0332474,0.0536146,Haida Gwaii (Hi),Winter Harbor (Hi)
WH_Central_R2_mindpop0.5_fst.log,0.0171327,0.0323179,Winter Harbor (Hi),Central BC (Hi)
Fbragg_SD_R2_mindpop0.5_fst.log,-0.00302883,0.00238327,Fort Bragg,San Diego (AQ)
Ucluelet_Monterey_R2_mindpop0.5_fst.log,0.000666561,0.00515588,Ucluelet,Monterey
fst.59061189.log,0.0145767,0.0304904,Central BC (Hi),Santa Barbara (AQ)
Baja_Central_R2_mindpop0.5_fst.log,0.0147876,0.0301517,Ensenada,Central BC (Hi)
FbraggA_Bamfield_R2_mindpop0.5_fst.log,0.00683277,0.016956,Fort Bragg (AQ),Bamfield
Hazard_Ucluelet_R2_mindpop0.5_fst.log,-0.000779952,0.00451364,Hazard Canyon,Ucluelet
LA_WH_R2_mindpop0.5_fst.log,0.000485201,0.00426843,LA (AQ),Winter Harbor (Hi)
LA_SB_R2_mindpop0.5_fst.log,-0.00878172,0.00313448,LA (AQ),Santa Barbara
Central_Baja_R2_mindpop0.5_fst.log,0.0147876,0.0301517,Central BC (Hi),Ensenada
fst.59061489.log,-0.00106382,0.00127545,Ensenada,Fort Bragg
fst.59061294.log,4.74381,0.00301813,Bamfield (Hi),Ensenada
Fbragg_Central_R2_mindpop0.5_fst.log,0.0145187,0.0295858,Fort Bragg,Central BC (Hi)
LA_Fbragg_R2_mindpop0.5_fst.log,-0.000262107,0.00198289,LA (AQ),Fort Bragg
Ucluelet_BamfieldH_R2_mindpop0.5_fst.log,-0.00405901,2.99E-05,Ucluelet,Bamfield (Hi)
Baja_LA_R2_mindpop0.5_fst.log,-0.000940957,0.00249151,Ensenada,LA (AQ)
Hazard_HG_R2_mindpop0.5_fst.log,0.033624,0.0548408,Hazard Canyon,Haida Gwaii (Hi)
fst.59061284.log,0.000957664,0.00310222,Bamfield (Hi),Monterey
fst.59061346.log,-0.000779952,0.00451364,Hazard Canyon,Ucluelet
BamfieldH_Baja_R2_mindpop0.5_fst.log,4.74381,0.00301813,Bamfield (Hi),Ensenada
Hazard_Baja_R2_mindpop0.5_fst.log,-0.00460856,0.000189647,Hazard Canyon,Ensenada
Hazard_LA_R2_mindpop0.5_fst.log,-0.00181913,0.00211178,Hazard Canyon,LA (AQ)
