Id,group,Collection,
./bam_bais/ngm_dtas_rg_23442Pal_M17_S37.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M17_S37.bam
./bam_bais/ngm_dtas_rg_23442Pal_M18_S38.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M18_S38.bam
./bam_bais/ngm_dtas_rg_23442Pal_M19_S39.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M19_S39.bam
./bam_bais/ngm_dtas_rg_23442Pal_M20_S40.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M20_S40.bam
./bam_bais/ngm_dtas_rg_23442Pal_M21_S41.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M21_S41.bam
./bam_bais/ngm_dtas_rg_23442Pal_M22_S42.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M22_S42.bam
./bam_bais/ngm_dtas_rg_23442Pal_M23_S43.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M23_S43.bam
./bam_bais/ngm_dtas_rg_23442Pal_M24_S44.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M24_S44.bam
./bam_bais/ngm_dtas_rg_23442Pal_M25_S45.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M25_S45.bam
./bam_bais/ngm_dtas_rg_23442Pal_M26_S46.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M26_S46.bam
./bam_bais/ngm_dtas_rg_23442Pal_M27_S47.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M27_S47.bam
./bam_bais/ngm_dtas_rg_23442Pal_M28_S48.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M28_S48.bam
./bam_bais/ngm_dtas_rg_23442Pal_M2_S22.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M2_S22.bam
./bam_bais/ngm_dtas_rg_23442Pal_M3_S23.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M3_S23.bam
./bam_bais/ngm_dtas_rg_23442Pal_M4_S24.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M4_S24.bam
./bam_bais/ngm_dtas_rg_23442Pal_M5_S25.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M5_S25.bam
./bam_bais/ngm_dtas_rg_23442Pal_M6_S26.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M6_S26.bam
./bam_bais/ngm_dtas_rg_23442Pal_M7_S27.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M7_S27.bam
./bam_bais/ngm_dtas_rg_23442Pal_M8_S28.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M8_S28.bam
./bam_bais/ngm_dtas_rg_23442Pal_M9_S29.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M9_S29.bam
./bam_bais/ngm_dtas_rg_23442Pal_N10_S119.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N10_S119.bam
./bam_bais/ngm_dtas_rg_23442Pal_N1_S110.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N1_S110.bam
./bam_bais/ngm_dtas_rg_23442Pal_N2_S111.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N2_S111.bam
./bam_bais/ngm_dtas_rg_23442Pal_N3_S112.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N3_S112.bam
./bam_bais/ngm_dtas_rg_23442Pal_N4_S113.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N4_S113.bam
./bam_bais/ngm_dtas_rg_23442Pal_N5_S114.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N5_S114.bam
