Id,group,Collection,
./bam_bais/ngm_dtas_rg_23442Pal_W12_S181.bam,Winter Harbor,Historic,S176
./bam_bais/ngm_dtas_rg_23442Pal_W1_S170.bam,Winter Harbor,Historic,S177
./bam_bais/ngm_dtas_rg_23442Pal_W2_S171.bam,Winter Harbor,Historic,S178
./bam_bais/ngm_dtas_rg_23442Pal_W3_S172.bam,Winter Harbor,Historic,S179
./bam_bais/ngm_dtas_rg_23442Pal_W4_S173.bam,Winter Harbor,Historic,S180
./bam_bais/ngm_dtas_rg_23442Pal_W5_S174.bam,Winter Harbor,Historic,S181
./bam_bais/ngm_dtas_rg_23442Pal_W6_S175.bam,Winter Harbor,Historic,S182
./bam_bais/ngm_dtas_rg_23442Pal_W7_S176.bam,Winter Harbor,Historic,S183
./bam_bais/ngm_dtas_rg_23442Pal_W8_S177.bam,Winter Harbor,Historic,S184
./bam_bais/ngm_dtas_rg_23442Pal_W9_S178.bam,Winter Harbor,Historic,S185
ngm_dtas_rg_24145Pal_AP13_S19.bam,Bamfield,Historic,S186
ngm_dtas_rg_24145Pal_AP15_S20.bam,Bamfield,Historic,S187
ngm_dtas_rg_24145Pal_AP19_S21.bam,Bamfield,Historic,S188
ngm_dtas_rg_24145Pal_AP23_S22.bam,Bamfield,Historic,S189
ngm_dtas_rg_24145Pal_AP24_S23.bam,Bamfield,Historic,S190
ngm_dtas_rg_24145Pal_AP2_S14.bam,Bamfield,Historic,S191
ngm_dtas_rg_24145Pal_AP3_S15.bam,Bamfield,Historic,S192
ngm_dtas_rg_24145Pal_AP4_S16.bam,Bamfield,Historic,S193
ngm_dtas_rg_24145Pal_AP5_S17.bam,Bamfield,Historic,S194
ngm_dtas_rg_24145Pal_AP9_S18.bam,Bamfield,Historic,S195
ngm_dtas_rg_24145Pal_B12_S7.bam,Bamfield,New,S196
ngm_dtas_rg_24145Pal_B19_S8.bam,Bamfield,New,S197
ngm_dtas_rg_24145Pal_B2_S6.bam,Bamfield,New,S198
ngm_dtas_rg_24145Pal_Ba10_S56.bam,Ensenada,New,S199
ngm_dtas_rg_24145Pal_Ba11_S57.bam,Ensenada,New,S200
ngm_dtas_rg_24145Pal_Ba13_S58.bam,Ensenada,New,S201
ngm_dtas_rg_24145Pal_Ba14_S59.bam,Ensenada,New,S202
ngm_dtas_rg_24145Pal_Ba15_S60.bam,Ensenada,New,S203
ngm_dtas_rg_24145Pal_Ba16_S61.bam,Ensenada,New,S204
ngm_dtas_rg_24145Pal_Ba17_S62.bam,Ensenada,New,S205
ngm_dtas_rg_24145Pal_Ba18_S63.bam,Ensenada,New,S206
ngm_dtas_rg_24145Pal_Ba19_S64.bam,Ensenada,New,S207
ngm_dtas_rg_24145Pal_Ba21_S65.bam,Ensenada,New,S208
ngm_dtas_rg_24145Pal_Ba23_S66.bam,Ensenada,New,S209
ngm_dtas_rg_24145Pal_Ba3_S52.bam,Ensenada,New,S210
ngm_dtas_rg_24145Pal_Ba7_S53.bam,Ensenada,New,S211
ngm_dtas_rg_24145Pal_Ba8_S54.bam,Ensenada,New,S212
ngm_dtas_rg_24145Pal_Ba9_S55.bam,Ensenada,New,S213
ngm_dtas_rg_24145Pal_D2_S10.bam,San Diego,Historic,S214
ngm_dtas_rg_24145Pal_D3_S11.bam,San Diego,Historic,S215
ngm_dtas_rg_24145Pal_D4_S12.bam,San Diego,Historic,S216
